source_track_id,similar_track_ids,similarity_basis
NFL_NFL_0036_01901,KPM_KPM_0817_04401;KPM_KPM_2312_00701;PMY_PMY_0080_00301;BRU_BTV_0221_05001,orchestral;emotional;cinematic
KPM_KPM_0934_03601,KPM_KPM_2117_01101;SON_SCD_0067_06503;BRU_BR_0066_01601,news;broadcast;energetic
CEZ_CEZ_4639_00201,AXS_AXS_2581_02801;STR_STR_0067_00701;ADTK_ADTK_0184_03201,80s;synth;retro
KPM_KPM_2005_16101,IFM_IFM_0061_05201;SON_ROCK_0127_04101;SOHO_SOHO_0363_04101,sting;short;energetic
KPM_KPM_0676_05001,KOS_KOS_0409_00401;MMIT_MMIT_0087_01001;MTA_MTA_0053_36701,happy;cheerful;children
NRF_NRF_0013_02301,KPM_KPM_2312_00701;MYMA_JUST_0307_03101;IFM_IFM_0313_01201,electronic;tension;cinematic
AXS_AXS_2565_00401,OCHO_OCHO_0006_01401;CEZ_AUD_0037_00801;JCM_JM_0162_06401,hip-hop;urban;vocal
LEM_LEM_0288_02401,VOY_VOY_0051_00301;JCM_JMOD_0029_08201;MYMA_JUST_0307_03101,quirky;dramedy;synth
OCHO_OCHO_0006_01401,AXS_AXS_2565_00401;JCM_JM_0162_06401;SON_SAS_0038_02001,latin;groove;brass
AXS_AXS_2283_04501,MPATH_MPATH_0099_05901;BRU_BTV_0221_05001;JMP_JMP_0101_05501,corporate;peaceful;introspective
IFM_IFM_0303_00701,KPM_KPM_2117_01101;SON_SCDV_1169_04601;JCM_JM_0314_00101,dark;urban;hip-hop;action
SCOR_SCORE_0244_04501,RYL_RYL_0052_00501;2FM_2FM_0052_03201;SCOR_SCORE_0178_02901,motivational;sports;energetic
LQC_INSD_0088_00901,VOY_VOY_0060_00502;SON_ROCK_0163_04201;SOHO_SOHO_0160_04501,rock;driving;energetic
MPATH_MPATH_0099_05901,AXS_AXS_2283_04501;JMP_JMP_0101_05501;BRU_BTV_0221_05001,corporate;hopeful;inspiring
KOS_KOS_0409_00401,KPM_KPM_0676_05001;MMIT_MMIT_0087_01001;KAPT_KAPT_0286_02701,warm;acoustic;folk
MYMA_JUST_0216_03401,VOY_VOY_0009_06201;JCM_JM_0162_06401;MYMA_SUPRA_0028_02001,electro;summer;uplifting
AXS_AXS_2581_02801,CEZ_CEZ_4639_00201;ADTK_ADTK_0184_03201;HARD_HARD_0009_01201,80s;pop;synth
VOY_VOY_0060_00502,LQC_INSD_0088_00901;SON_ROCK_0163_04201;SOHO_SOHO_0160_04501,rock;cool;swagger
RYL_RYL_0052_00501,SCOR_SCORE_0244_04501;2FM_2FM_0052_03201;BRU_HKD_0012_01801,motivational;uplifting;vocal
SON_ISCD_0222_02901,DED_DED_0137_09401;PRM_PRM_0146_04201;GUM_GMT_8177_00201,retro;blues;jazz
VOY_VOY_0009_06201,MYMA_JUST_0216_03401;JMP_JMP_0109_06601;MMIT_MMIT_0087_01001,playful;pop;acoustic
KPM_KPM_0848_04901,NFL_NFL_0036_01901;PMY_PMY_0080_00301;2FM_2FM_0056_12301,warm;piano;emotional
KPM_KPM_2312_00701,NFL_NFL_0036_01901;NRF_NRF_0013_02301;PMY_PMY_0080_00301,score;electronic;discovery
VOY_VOY_0051_00301,LEM_LEM_0288_02401;JCM_JM_0314_00101;IFM_IFM_0313_01201,spooky;whimsical;halloween
CS_CSLP_0070_00701,GUM_GMT_8177_00201;MPATH_MPATH_0028_02801;KPM_KPMLP_1167_00601,acoustic;reflective;nostalgic
SON_SAS_0038_02001,SON_SAS_0149_07301;SON_SONV_0223_03501;MMIT_MMIT_0087_01001,ethnic;authentic;folk
PMY_PMY_0080_00301,NFL_NFL_0036_01901;KPM_KPM_0848_04901;JMP_JMP_0101_05501,hopeful;piano;reflective
SON_SCDV_0252_04201,FAB_FAB_0039_02201;SOHO_BOS_1048_06001;KPM_KPM_0848_04901,marimba;hypnotic;underscore
KPM_KPM_2327_01701,NRF_NRF_0013_02301;MYMA_JUST_0307_03101;IFM_IFM_0313_01201,moody;reflective;electronic
KAPT_KAPT_0029_09001,KPM_KPM_2117_01101;IFM_IFM_0313_01201;JCM_JM_0314_00101,tension;suspense;electronic
MPATH_MPATH_0028_02801,CS_CSLP_0070_00701;TRL_TRL_0004_07201;GUM_GMT_8177_00201,guitar;reflective;acoustic
KOS_KOS_0372_05601,KAPT_KAPT_0286_02701;MMIT_MMIT_0087_01001;KOS_KOS_0409_00401,folk;zany;acoustic
LQC_LQC_0037_00501,2FM_2FM_0052_03201;ES_ES_0044_03401;SCOR_SCORE_0178_02901,trailer;drums;intense
BRU_HKD_0012_01801,RYL_RYL_0052_00501;SCOR_SCORE_0244_04501;HARD_HARD_0009_01201,motivational;vocal;pop
SON_SCD_0139_02301,SON_SONV_0223_03501;BRU_BR_0480_01801;FAB_FAB_0039_02201,strings;atmospheric;cinematic
TRL_TRL_0004_07201,MPATH_MPATH_0028_02801;VOY_VOY_0009_06201;JMP_JMP_0109_06601,acoustic;guitar;uplifting
MYMA_SUPRA_0028_02001,MYMA_JUST_0216_03401;ADTK_ADTK_0184_03201;VOY_VOY_0009_06201,electro;house;uplifting
JCM_JM_0162_06401,AXS_AXS_2565_00401;OCHO_OCHO_0006_01401;JCM_JM_0218_18701,dancehall;electronic;laid-back
SON_SAS_0149_07301,SON_SAS_0038_02001;SON_SONV_0223_03501;BRU_BR_0480_01801,ethnic;authentic;drums
JCM_JM_0218_18701,JCM_JM_0162_06401;VOY_VOY_0009_06201;MYMA_JUST_0216_03401,pop;summer;vibrant
SON_ROCK_0127_04101,KPM_KPM_2005_16101;SOHO_SOHO_0363_04101;LQC_INSD_0088_00901,rock;sting;energetic
BRU_BR_0538_01101,MTA_MTA_0053_36701;KPM_KPM_0676_05001;KOS_KOS_0372_05601,comedy;fun;quirky
SON_SCD_0067_06503,KPM_KPM_0934_03601;BRU_BR_0066_01601;SON_SCDV_0817_03101,news;short;broadcast
HARD_HARD_0009_01201,AXS_AXS_2581_02801;BRU_HKD_0012_01801;RYL_RYL_0052_00501,pop;vocal;dance
KPM_KPM_2005_16101,IFM_IFM_0061_05201;SON_ROCK_0127_04101;SOHO_SOHO_0363_04101,sting;short
BRU_BTV_0221_05001,NFL_NFL_0036_01901;MPATH_MPATH_0099_05901;JMP_JMP_0101_05501,orchestral;hopeful;inspiring
SON_ROCK_0163_04201,VOY_VOY_0060_00502;LQC_INSD_0088_00901;SOHO_SOHO_0160_04501,rock;hard;driving
KOS_KOS_0182_12501,SON_SCDV_0817_03101;MYMA_JUST_0216_03401;ADTK_ADTK_0184_03201,dance;electronic;energetic
JMP_JMP_0101_05501,PMY_PMY_0080_00301;MPATH_MPATH_0099_05901;KPM_KPM_0848_04901,warm;inspiring;piano
2FM_2FM_0052_03201,LQC_LQC_0037_00501;SCOR_SCORE_0244_04501;SCOR_SCORE_0178_02901,motivational;promo;sports
JCM_JM_0183_02501,VOY_VOY_0009_06201;MYMA_JUST_0216_03401;JMP_JMP_0109_06601,tropical;optimistic;summer
SON_SCDV_0703_00401,ADTK_ADTK_0184_03201;KPM_KPM_2117_01101;SON_SCDV_0817_03101,electronic;industrial;tech
SOHO_BOS_1048_06001,MPATH_MPATH_0099_05901;JMP_JMP_0101_05501;PMY_PMY_0080_00301,uplifting;cinematic;positive
SCOR_SCORE_0178_02901,2FM_2FM_0052_03201;LQC_LQC_0037_00501;KPM_KPM_2117_01101,promo;intense;powerful
SEL_LS_1045_00701,FAB_FAB_0039_02201;KPM_KPMLP_1167_00601;SON_SCD_0139_02301,classical;orchestral;elegant
KPM_KPM_2117_01101,KAPT_KAPT_0029_09001;IFM_IFM_0313_01201;JCM_JM_0314_00101,ominous;tension;dark
KAPT_KAPT_0286_02701,KOS_KOS_0372_05601;MMIT_MMIT_0087_01001;KOS_KOS_0409_00401,country;banjo;happy
CEZ_CSDL_1013_08201,ES_ES_0044_03401;NRF_NRF_0013_02301,sfx;cinematic;texture
CEZ_AUD_0037_00801,AXS_AXS_2565_00401;OCHO_OCHO_0006_01401;JCM_JM_0162_06401,hip-hop;urban;chill
GUM_GMT_8177_00201,CS_CSLP_0070_00701;2FM_2FM_0056_12301;KPM_KPM_0848_04901,sad;piano;lonely
SON_SCDV_0817_03101,KOS_KOS_0182_12501;ADTK_ADTK_0184_03201;SON_SCDV_0703_00401,edm;electronic;synth
KPM_KPMLP_1167_00601,SEL_LS_1045_00701;FAB_FAB_0039_02201;CS_CSLP_0070_00701,pastoral;charming;orchestral
JMP_JMP_0109_06601,TRL_TRL_0004_07201;VOY_VOY_0009_06201;JCM_JM_0183_02501,uplifting;feel-good;warm
JCM_JM_0314_00101,KPM_KPM_2117_01101;MYMA_JUST_0307_03101;IFM_IFM_0313_01201,dark;synth;dystopian
SON_SCDV_1169_04601,IFM_IFM_0303_00701;JCM_JM_0314_00101;SON_SCDV_0703_00401,hip-hop;dark;atmospheric
SOHO_SOHO_0160_04501,LQC_INSD_0088_00901;VOY_VOY_0060_00502;SON_ROCK_0163_04201,rock;anthemic;powerful
IFM_IFM_0313_01201,KAPT_KAPT_0029_09001;KPM_KPM_2117_01101;MYMA_JUST_0307_03101,suspense;ambient;dark
AXS_AXS_2069_07101,MYMA_JUST_0216_03401;AXS_AXS_2581_02801;SON_SCDV_0703_00401,urban;techno;smooth
AVC_AVCD_0762_02001,KAPT_KAPT_0286_02701;PRM_PRM_0146_04201;PMY_PMY_0141_03501,harmonica;theme;folk
MMIT_MMIT_0087_01001,KOS_KOS_0409_00401;KAPT_KAPT_0286_02701;MTA_MTA_0053_36701,folk;italian;festive
MTA_MTA_0053_36701,KPM_KPM_0676_05001;BRU_BR_0538_01101;MMIT_MMIT_0087_01001,fun;feel-good;playful
FAB_FAB_0039_02201,SEL_LS_1045_00701;KPM_KPMLP_1167_00601;SON_SCD_0139_02301,classical;elegant;strings
KPM_KPM_0817_04401,NFL_NFL_0036_01901;2FM_2FM_0056_12301;GUM_GMT_8177_00201,sad;piano;emotional
STR_STR_0067_00701,CEZ_CEZ_4639_00201;MYMA_JUST_0307_03101;IFM_IFM_0313_01201,synth;introspective;noir
MYMA_JUST_0307_03101,NRF_NRF_0013_02301;IFM_IFM_0313_01201;KPM_KPM_2327_01701,tension;electronic;cinematic
ADTK_ADTK_0184_03201,CEZ_CEZ_4639_00201;AXS_AXS_2581_02801;SON_SCDV_0703_00401,80s;techno;synth
2FM_2FM_0056_12301,KPM_KPM_0817_04401;GUM_GMT_8177_00201;KPM_KPM_0848_04901,sad;piano;nostalgic
BRU_BR_0066_01601,KPM_KPM_0934_03601;SON_SCD_0067_06503;2FM_2FM_0052_03201,news;broadcast;prestigious
SATV_SATVCD_0153_00101,BRU_HKD_0012_01801;RYL_RYL_0052_00501;VOY_VOY_0060_00502,sass;energy;attitude
NRF_NRF_0013_02301,KPM_KPM_2312_00701;MYMA_JUST_0307_03101;IFM_IFM_0313_01201,electronic;cinematic;evolving
