search_id,user_id,query,search_mode,timestamp,result_track_ids,auditioned_track_ids,downloaded_track_ids
S001,U001,dark tension suspense,prompt,2025-01-04 08:47:00,PMY_PMY_0080_00301;VOY_VOY_0060_00502;JMP_JMP_0109_06601;MPATH_MPATH_0099_05901;JW_JWV_0418_06501;JCM_JM_0162_06401,JW_JWV_0418_06501;MPATH_MPATH_0099_05901,
S002,U001,acoustic guitar uplifting,prompt,2025-01-01 09:13:00,PRM_PRM_0146_04201;KPM_KPM_2005_16101;BRU_BR_0066_01601;VOY_VOY_0051_00301;SOHO_SOHO_0330_08801;KOS_KOS_0182_12501;SOHO_BOS_1048_06001;JCM_JM_0162_06401;SON_FCH_0012_00301,JCM_JM_0162_06401;SOHO_SOHO_0330_08801;SOHO_BOS_1048_06001,
S003,U001,corporate inspiring modern,prompt,2025-01-25 10:44:00,KAPT_KAPT_0029_09001;SON_ISCD_0222_02901;SON_SAS_0038_02001;SOHO_SOHO_0160_04501;CEZ_AUD_0037_00801;MPATH_MPATH_0099_05901;SCOR_SCORE_0244_04501,KAPT_KAPT_0029_09001;SON_SAS_0038_02001;MPATH_MPATH_0099_05901;CEZ_AUD_0037_00801;SCOR_SCORE_0244_04501,SCOR_SCORE_0244_04501;KAPT_KAPT_0029_09001;SON_SAS_0038_02001
S004,U001,news broadcast urgent,prompt,2025-01-03 16:18:00,DED_DED_0137_09401;KPM_KPM_2117_01101;JCM_JM_0183_02501;KPM_KPM_2312_00701;SCOR_SCORE_0178_02901;OCHO_OCHO_0006_01401;NRF_NRF_0013_02301;MTA_MTA_0053_36701;SON_SCDV_0252_04201;SEL_LS_1045_00701,KPM_KPM_2117_01101;KPM_KPM_2312_00701;SEL_LS_1045_00701;SON_SCDV_0252_04201,SON_SCDV_0252_04201;SEL_LS_1045_00701
S005,U001,tropical summer fun,prompt,2025-01-27 13:10:00,CS_CSLP_0070_00701;JMP_JMP_0101_05501;SON_SCD_0067_06503;SOHO_BOS_1048_06001;JCM_JM_0314_00101;MH_MH_0041_03701;AXS_AXS_2283_04501,JCM_JM_0314_00101;MH_MH_0041_03701;JMP_JMP_0101_05501,MH_MH_0041_03701
S006,U001,christmas festive holiday,prompt,2025-01-13 12:59:00,BRU_BR_0066_01601;PMY_PMY_0080_00301;JCM_JM_0314_00101;2FM_2FM_0052_03201;SEL_LS_1045_00701;SATV_SATVCD_0153_00101;LEM_LEM_0288_02401;SON_SCDV_0252_04201;KPM_KPM_0676_05001;MMIT_MMIT_0087_01001,SEL_LS_1045_00701;PMY_PMY_0080_00301;2FM_2FM_0052_03201;MMIT_MMIT_0087_01001;SATV_SATVCD_0153_00101,PMY_PMY_0080_00301;MMIT_MMIT_0087_01001
S007,U001,dark tension suspense,prompt,2025-02-21 15:09:00,IFM_IFM_0061_05201;KOS_KOS_0111_10101;BRU_BR_0066_01601;MYMA_SUPRA_0028_02001;KPM_KPM_2327_01701;JCM_JM_0218_18701,KPM_KPM_2327_01701;MYMA_SUPRA_0028_02001;BRU_BR_0066_01601;IFM_IFM_0061_05201;JCM_JM_0218_18701,KPM_KPM_2327_01701;JCM_JM_0218_18701;IFM_IFM_0061_05201
S008,U001,documentary nature emotional,prompt,2025-02-05 18:10:00,JCM_JMOD_0029_08201;BRU_BR_0538_01101;OCHO_OCHO_0006_01401;FAB_FAB_0039_02201;CEZ_CSDL_1013_08201;HARD_HARD_0009_01201;TRL_TRL_0004_07201;KPM_KPM_0817_04401;LQC_LQC_0037_00501;KPM_KPM_0934_03601,LQC_LQC_0037_00501;CEZ_CSDL_1013_08201,CEZ_CSDL_1013_08201;LQC_LQC_0037_00501
S009,U001,rock energetic driving,prompt,2025-02-10 14:10:00,SON_SCDV_1297_03101;KPM_KPM_2327_01701;BRU_HKD_0012_01801;SOHO_SOHO_0160_04501;KPM_KPM_0848_04901,BRU_HKD_0012_01801;KPM_KPM_2327_01701,
S010,U001,documentary nature emotional,prompt,2025-02-12 10:34:00,NFL_NFL_0036_01901;BRU_BR_0538_01101;2FM_2FM_0052_03201;MYMA_JUST_0307_03101;CEZ_CEZ_4639_00201;KOS_KOS_0409_00401;KPM_KPM_2117_01101;PMY_PMY_0141_03501;AXS_AXS_2069_07101,MYMA_JUST_0307_03101;BRU_BR_0538_01101,
S011,U001,romantic piano emotional,prompt,2025-02-24 15:52:00,SEL_LS_1045_00701;AXS_AXS_2581_02801;MTA_MTA_0053_36701;BRU_BTV_0221_05001;LQC_LQC_0037_00501;ES_ES_0044_03401;KPM_KPM_2327_01701;TRL_TRL_0004_07201;PRM_PRM_0146_04201,BRU_BTV_0221_05001;PRM_PRM_0146_04201;ES_ES_0044_03401;MTA_MTA_0053_36701;TRL_TRL_0004_07201,MTA_MTA_0053_36701;TRL_TRL_0004_07201
S012,U001,tropical summer fun,prompt,2025-03-08 11:04:00,SON_ROCK_0127_04101;LQC_LQC_0037_00501;SON_SCDV_0252_04201;PMY_PMY_0080_00301;NFL_NFL_0036_01901,SON_ROCK_0127_04101;LQC_LQC_0037_00501,
S013,U001,80s synth retro,prompt,2025-03-02 13:04:00,KAPT_KAPT_0029_09001;JMP_JMP_0101_05501;MYMA_JUST_0307_03101;SON_SAS_0038_02001;JCM_JM_0162_06401;AXS_AXS_2581_02801,JMP_JMP_0101_05501;SON_SAS_0038_02001;JCM_JM_0162_06401;KAPT_KAPT_0029_09001;MYMA_JUST_0307_03101,
S014,U001,corporate inspiring modern,prompt,2025-03-22 14:22:00,HARD_HARD_0009_01201;BRU_BR_0735_01901;AXS_AXS_2565_00401;JW_JWV_0418_06501;KOS_KOS_0182_12501;MH_MH_0041_03701;LQC_INSD_0088_00901;LEM_LEM_0288_02401,MH_MH_0041_03701;LQC_INSD_0088_00901;HARD_HARD_0009_01201;BRU_BR_0735_01901;KOS_KOS_0182_12501,KOS_KOS_0182_12501
S015,U001,high energy electronic workout,prompt,2025-03-15 10:27:00,HARD_HARD_0009_01201;IFM_IFM_0061_05201;AXS_AXS_2283_04501;JCM_JMOD_0038_02001;LQC_LQC_0037_00501;LQC_INSD_0088_00901;AXS_AXS_2565_00401,HARD_HARD_0009_01201;IFM_IFM_0061_05201,
S016,U001,news broadcast urgent,prompt,2025-04-16 15:13:00,LEM_LEM_0288_02401;ES_ES_0044_03401;CEZ_CSDL_1013_08201;NFL_NFL_0036_01901;FAB_FAB_0039_02201;KPM_KPM_2327_01701;GUM_GMT_8177_00201;MPATH_MPATH_0028_02801,MPATH_MPATH_0028_02801;ES_ES_0044_03401;GUM_GMT_8177_00201;CEZ_CSDL_1013_08201;KPM_KPM_2327_01701,
S017,U001,spooky halloween fun,prompt,2025-04-19 16:03:00,LEM_LEM_0288_02401;AXS_AXS_2565_00401;JCM_JM_0218_18701;SOHO_SOHO_0363_04101;BRU_HKD_0012_01801;TRL_TRL_0004_07201;VOY_VOY_0009_06201,BRU_HKD_0012_01801;LEM_LEM_0288_02401,
S018,U001,christmas festive holiday,prompt,2025-04-03 17:04:00,SON_SAS_0149_07301;MYMA_JUST_0216_03401;KNTK_KNTK_0036_01201;IFM_IFM_0061_05201;JCM_JM_0218_18701;BRU_BR_0538_01101,JCM_JM_0218_18701;SON_SAS_0149_07301,SON_SAS_0149_07301
S019,U001,spooky halloween fun,prompt,2025-04-09 11:42:00,AXS_AXS_2069_07101;KPM_KPM_2327_01701;KOS_KOM_2138_03601;AXS_AXS_2581_02801;JMP_JMP_0101_05501;MH_MH_0041_03701;KOS_KOS_0372_05601,KOS_KOM_2138_03601;AXS_AXS_2069_07101;MH_MH_0041_03701;AXS_AXS_2581_02801;KOS_KOS_0372_05601,
S020,U001,80s synth retro,prompt,2025-04-03 16:13:00,AXS_AXS_2581_02801;SON_SONV_0223_03501;OCHO_OCHO_0006_01401;IFM_IFM_0061_05201;KAPT_KAPT_0286_02701;MPATH_MPATH_0028_02801;VOY_VOY_0009_06201,VOY_VOY_0009_06201;KAPT_KAPT_0286_02701;OCHO_OCHO_0006_01401;AXS_AXS_2581_02801;MPATH_MPATH_0028_02801,VOY_VOY_0009_06201;KAPT_KAPT_0286_02701
S021,U001,80s synth retro,prompt,2025-05-04 09:47:00,SON_SCD_0067_06503;MPATH_MPATH_0028_02801;PRM_PRM_0146_04201;CS_CSLP_0070_00701;SOHO_SOHO_0330_08801;CEZ_AUD_0037_00801,CEZ_AUD_0037_00801;PRM_PRM_0146_04201;CS_CSLP_0070_00701,CEZ_AUD_0037_00801;CS_CSLP_0070_00701
S022,U001,dark tension suspense,prompt,2025-05-21 14:53:00,NFL_NFL_0036_01901;SON_SCD_0139_02301;SEL_LS_1045_00701;AXS_AXS_2581_02801;BRU_BR_0480_01801,SON_SCD_0139_02301;AXS_AXS_2581_02801;SEL_LS_1045_00701;BRU_BR_0480_01801,
S023,U001,spooky halloween fun,prompt,2025-05-04 09:56:00,JCM_JM_0162_06401;KPM_KPM_0676_05001;KAPT_KAPT_0286_02701;JCM_JM_0218_18701;LQC_LQC_0037_00501;RYL_RYL_0052_00501,KPM_KPM_0676_05001;JCM_JM_0162_06401;KAPT_KAPT_0286_02701;RYL_RYL_0052_00501;LQC_LQC_0037_00501,JCM_JM_0162_06401;LQC_LQC_0037_00501
S024,U001,documentary nature emotional,prompt,2025-05-22 09:22:00,KPM_KPMLP_1167_00601;DED_DED_0137_09401;KOS_KOS_0111_10101;SON_ISCD_0222_02901;AXS_AXS_2069_07101;VOY_VOY_0009_06201;KPM_KPM_0848_04901;KPM_KPM_2005_16101;JMP_JMP_0109_06601,KPM_KPM_0848_04901;SON_ISCD_0222_02901;KOS_KOS_0111_10101;DED_DED_0137_09401,
S025,U001,rock energetic driving,prompt,2025-05-13 08:54:00,VOY_VOY_0051_00301;GUM_GMT_8177_00201;SON_SONV_0223_03501;PMY_PMY_0141_03501;SON_SCDV_0252_04201;PMY_PMY_0080_00301,PMY_PMY_0080_00301;GUM_GMT_8177_00201,GUM_GMT_8177_00201
S026,U001,dark tension suspense,prompt,2025-06-28 09:49:00,MH_MH_0041_03701;SON_ROCK_0163_04201;SON_SAS_0149_07301;JW_JWV_0418_06501;MYMA_SUPRA_0028_02001;SON_SCD_0139_02301;KPM_KPM_2005_16101,SON_SAS_0149_07301;SON_ROCK_0163_04201,SON_ROCK_0163_04201;SON_SAS_0149_07301
S027,U001,tropical summer fun,prompt,2025-06-04 17:27:00,MMIT_MMIT_0087_01001;SOHO_SOHO_0324_04501;PRM_PRM_0146_04201;SON_ROCK_0163_04201;KOS_KOS_0409_00401;FAB_FAB_0039_02201;JCM_JM_0183_02501;KPM_KPM_2312_00701;KPM_KPM_0817_04401;NRF_NRF_0013_02301,MMIT_MMIT_0087_01001;KPM_KPM_0817_04401;SON_ROCK_0163_04201;PRM_PRM_0146_04201;KPM_KPM_2312_00701,
S028,U001,tropical summer fun,prompt,2025-06-22 13:39:00,MYMA_JUST_0216_03401;SON_SCDV_1297_03101;KOS_KOS_0372_05601;BRU_HKD_0012_01801;PMY_PMY_0141_03501;JMP_JMP_0101_05501;KPM_KPMLP_1167_00601;2FM_2FM_0052_03201;SON_SAS_0149_07301;SOHO_BOS_1048_06001,SON_SAS_0149_07301;KOS_KOS_0372_05601;BRU_HKD_0012_01801;2FM_2FM_0052_03201,KOS_KOS_0372_05601;BRU_HKD_0012_01801;2FM_2FM_0052_03201
S029,U001,epic orchestral triumphant,prompt,2025-06-13 16:53:00,MPATH_MPATH_0028_02801;CS_CSLP_0070_00701;SOHO_SOHO_0324_04501;JCM_JM_0218_18701;PRM_PRM_0146_04201;KOS_KOS_0182_12501;2FM_2FM_0052_03201,JCM_JM_0218_18701;2FM_2FM_0052_03201;CS_CSLP_0070_00701;KOS_KOS_0182_12501;SOHO_SOHO_0324_04501,JCM_JM_0218_18701
S030,U001,christmas festive holiday,prompt,2025-06-10 16:42:00,SON_SCD_0139_02301;SCOR_SCORE_0244_04501;SON_SCDV_1169_04601;AXS_AXS_2069_07101;JW_JWV_0418_06501;PMY_PMY_0141_03501;PMY_PMY_0080_00301;VOY_VOY_0051_00301;RYL_RYL_0052_00501,SON_SCD_0139_02301;AXS_AXS_2069_07101,SON_SCD_0139_02301
S031,U001,acoustic guitar uplifting,prompt,2025-07-14 18:36:00,SOHO_BOS_1048_06001;FAB_FAB_0039_02201;ADTK_ADTK_0184_03201;SON_SAS_0149_07301;IFM_IFM_0061_05201;RYL_RYL_0052_00501;KOS_KOS_0182_12501;SON_SCDV_0703_00401;NFL_NFL_0036_01901;SON_SCDV_1169_04601,KOS_KOS_0182_12501;SON_SAS_0149_07301,
S032,U001,epic orchestral triumphant,prompt,2025-07-26 16:29:00,IFM_IFM_0061_05201;MYMA_JUST_0216_03401;GUM_GMT_8177_00201;VOY_VOY_0060_00502;HARD_HARD_0009_01201;JMP_JMP_0101_05501;TRL_TRL_0004_07201;BRU_BR_0066_01601;BRU_BR_0538_01101,BRU_BR_0066_01601;TRL_TRL_0004_07201;BRU_BR_0538_01101;HARD_HARD_0009_01201,TRL_TRL_0004_07201;BRU_BR_0538_01101;HARD_HARD_0009_01201
S033,U001,acoustic guitar uplifting,prompt,2025-07-15 12:48:00,KAPT_KAPT_0029_09001;SEL_LS_1045_00701;SATV_SATVCD_0153_00101;IFM_IFM_0313_01201;MYMA_JUST_0307_03101;SON_SCDV_0817_03101;AXS_AXS_2069_07101;JCM_JMOD_0038_02001;AXS_AXS_2283_04501;SOHO_SOHO_0330_08801,IFM_IFM_0313_01201;MYMA_JUST_0307_03101;SON_SCDV_0817_03101;SATV_SATVCD_0153_00101,
S034,U001,corporate inspiring modern,prompt,2025-07-05 10:14:00,SON_ISCD_0222_02901;SCOR_SCORE_0178_02901;SON_SAS_0038_02001;OCHO_OCHO_0006_01401;SON_FCH_0012_00301;KPM_KPMLP_1167_00601;SON_SCD_0139_02301;JCM_JM_0162_06401;HARD_HARD_0009_01201;LEM_LEM_0288_02401,SON_SCD_0139_02301;LEM_LEM_0288_02401;SON_ISCD_0222_02901,LEM_LEM_0288_02401;SON_SCD_0139_02301;SON_ISCD_0222_02901
S035,U001,jazz smooth sophisticated,prompt,2025-07-10 14:54:00,MYMA_SUPRA_0028_02001;KOS_KOS_0111_10101;JMP_JMP_0109_06601;JCM_JM_0162_06401;PRM_PRM_0146_04201;PMY_PMY_0080_00301;MYMA_JUST_0307_03101;SON_SCD_0067_06503,SON_SCD_0067_06503;MYMA_SUPRA_0028_02001;JCM_JM_0162_06401;JMP_JMP_0109_06601;PMY_PMY_0080_00301,JMP_JMP_0109_06601
S036,U001,jazz smooth sophisticated,prompt,2025-08-20 16:01:00,SON_ROCK_0127_04101;KNTK_KNTK_0036_01201;MTA_MTA_0053_36701;KPM_KPM_2005_16101;IFM_IFM_0303_00701;MH_MH_0041_03701;JCM_JMOD_0029_08201;VOY_VOY_0060_00502,MTA_MTA_0053_36701;SON_ROCK_0127_04101;VOY_VOY_0060_00502;KPM_KPM_2005_16101;MH_MH_0041_03701,KPM_KPM_2005_16101
S037,U001,jazz smooth sophisticated,prompt,2025-08-11 13:48:00,KAPT_KAPT_0029_09001;SON_SCDV_1169_04601;SON_FCH_0012_00301;KPM_KPM_0817_04401;IFM_IFM_0303_00701;BRU_BTV_0221_05001;CEZ_CEZ_4639_00201;KOS_KOS_0111_10101,BRU_BTV_0221_05001;SON_SCDV_1169_04601,BRU_BTV_0221_05001;SON_SCDV_1169_04601
S038,U001,acoustic guitar uplifting,prompt,2025-08-25 08:15:00,DED_DED_0137_09401;SON_ISCD_0222_02901;AXS_AXS_2069_07101;AXS_AXS_2581_02801;BRU_BTV_0221_05001,BRU_BTV_0221_05001;SON_ISCD_0222_02901,SON_ISCD_0222_02901
S039,U001,hip hop urban confident,prompt,2025-08-25 13:10:00,KOS_KOS_0111_10101;SOHO_SOHO_0330_08801;KOS_KOS_0409_00401;SATV_SATVCD_0153_00101;VOY_VOY_0009_06201;PMY_PMY_0141_03501;MPATH_MPATH_0099_05901;JCM_JM_0218_18701;KPM_KPM_2005_16101,MPATH_MPATH_0099_05901;KPM_KPM_2005_16101;PMY_PMY_0141_03501;SOHO_SOHO_0330_08801,
S040,U001,romantic piano emotional,prompt,2025-09-23 18:15:00,SEL_LS_1045_00701;KOS_KOS_0372_05601;JCM_JM_0314_00101;BRU_BR_0538_01101;MYMA_JUST_0216_03401;KNTK_KNTK_0036_01201;NRF_NRF_0013_02301;SON_SONV_0223_03501;MYMA_SUPRA_0028_02001;JCM_JMOD_0029_08201,KOS_KOS_0372_05601;MYMA_SUPRA_0028_02001;KNTK_KNTK_0036_01201;SEL_LS_1045_00701,SEL_LS_1045_00701;KOS_KOS_0372_05601;MYMA_SUPRA_0028_02001
S041,U001,news broadcast urgent,prompt,2025-09-12 18:57:00,SCOR_SCORE_0178_02901;SON_ISCD_0222_02901;SOHO_SOHO_0324_04501;KPM_KPM_0848_04901;BRU_BR_0735_01901;IFM_IFM_0313_01201;KOS_KOS_0182_12501;SON_SCD_0067_06503,SON_SCD_0067_06503;KPM_KPM_0848_04901;IFM_IFM_0313_01201;BRU_BR_0735_01901;SOHO_SOHO_0324_04501,KPM_KPM_0848_04901;SON_SCD_0067_06503
S042,U001,documentary nature emotional,prompt,2025-09-09 15:15:00,KNTK_KNTK_0036_01201;SON_SCD_0602_00301;JMP_JMP_0101_05501;CEZ_CSDL_1013_08201;CEZ_AUD_0037_00801;KPM_KPM_2005_16101;ADTK_ADTK_0184_03201;2FM_2FM_0052_03201,2FM_2FM_0052_03201;SON_SCD_0602_00301;JMP_JMP_0101_05501,SON_SCD_0602_00301;JMP_JMP_0101_05501
S043,U001,epic orchestral triumphant,prompt,2025-09-20 12:35:00,KPM_KPM_2312_00701;IFM_IFM_0303_00701;AXS_AXS_2069_07101;SON_SCDV_1297_03101;KPM_KPMLP_1167_00601;MYMA_JUST_0307_03101;BRU_BR_0066_01601;SOHO_SOHO_0160_04501;SON_SCDV_0703_00401,SOHO_SOHO_0160_04501;SON_SCDV_0703_00401;BRU_BR_0066_01601;KPM_KPM_2312_00701;MYMA_JUST_0307_03101,SON_SCDV_0703_00401;KPM_KPM_2312_00701
S044,U001,christmas festive holiday,prompt,2025-09-23 11:19:00,KAPT_KAPT_0286_02701;BRU_BTV_0221_05001;LQC_LQC_0037_00501;TRL_TRL_0004_07201;SON_SONV_0223_03501;JCM_JMOD_0029_08201;KOS_KOS_0111_10101;SON_SCD_0139_02301;2FM_2FM_0056_12301,SON_SONV_0223_03501;2FM_2FM_0056_12301;LQC_LQC_0037_00501;BRU_BTV_0221_05001;KAPT_KAPT_0286_02701,LQC_LQC_0037_00501
S045,U001,spooky halloween fun,prompt,2025-09-04 16:48:00,KPM_KPM_2312_00701;SON_SAS_0038_02001;JMP_JMP_0109_06601;SOHO_SOHO_0363_04101;KAPT_KAPT_0029_09001;SON_SCDV_1297_03101,KPM_KPM_2312_00701;SON_SAS_0038_02001;JMP_JMP_0109_06601;SON_SCDV_1297_03101,SON_SAS_0038_02001;SON_SCDV_1297_03101
S046,U001,dark tension suspense,prompt,2025-10-23 16:08:00,AXS_AXS_2565_00401;LQC_LQC_0037_00501;AVC_AVCD_0762_02001;SOHO_BOS_1048_06001;AXS_AXS_2581_02801,AXS_AXS_2565_00401;AXS_AXS_2581_02801;AVC_AVCD_0762_02001;LQC_LQC_0037_00501;SOHO_BOS_1048_06001,LQC_LQC_0037_00501;AVC_AVCD_0762_02001;AXS_AXS_2565_00401
S047,U001,rock energetic driving,prompt,2025-10-02 12:55:00,OCHO_OCHO_0006_01401;SON_SAS_0149_07301;MYMA_JUST_0307_03101;AXS_AXS_2283_04501;JCM_JM_0183_02501,SON_SAS_0149_07301;JCM_JM_0183_02501,JCM_JM_0183_02501;SON_SAS_0149_07301
S048,U001,documentary nature emotional,prompt,2025-10-08 09:35:00,PRM_PRM_0146_04201;BRU_BR_0538_01101;DED_DED_0137_09401;PMY_PMY_0080_00301;SATV_SATVCD_0153_00101;IFM_IFM_0313_01201;CEZ_CSDL_1013_08201;STR_STR_0067_00701,SATV_SATVCD_0153_00101;CEZ_CSDL_1013_08201;STR_STR_0067_00701;PMY_PMY_0080_00301;DED_DED_0137_09401,
S049,U001,acoustic guitar uplifting,prompt,2025-10-20 09:48:00,SON_SAS_0038_02001;KPM_KPM_2327_01701;MTA_MTA_0053_36701;IFM_IFM_0303_00701;VOY_VOY_0009_06201;AXS_AXS_2069_07101;KPM_KPM_0848_04901;LQC_LQC_0037_00501;AXS_AXS_2283_04501;NFL_NFL_0036_01901,LQC_LQC_0037_00501;NFL_NFL_0036_01901;VOY_VOY_0009_06201;SON_SAS_0038_02001;KPM_KPM_2327_01701,VOY_VOY_0009_06201;SON_SAS_0038_02001
S050,U001,dark tension suspense,prompt,2025-11-22 11:59:00,SON_ROCK_0127_04101;MTA_MTA_0053_36701;VOY_VOY_0051_00301;JCM_JMOD_0029_08201;KOS_KOS_0409_00401;JCM_JM_0162_06401;PMY_PMY_0080_00301;MH_MH_0041_03701;SON_ISCD_0222_02901;SON_SCD_0067_06503,MTA_MTA_0053_36701;SON_ROCK_0127_04101;VOY_VOY_0051_00301,VOY_VOY_0051_00301;SON_ROCK_0127_04101
S051,U001,spooky halloween fun,prompt,2025-11-15 09:29:00,SOHO_BOS_1048_06001;SON_SAS_0149_07301;SON_SCD_0067_06503;BRU_HKD_0012_01801;JCM_JM_0162_06401;ADTK_ADTK_0184_03201;JCM_JMOD_0038_02001,JCM_JM_0162_06401;SOHO_BOS_1048_06001,SOHO_BOS_1048_06001
S052,U001,romantic piano emotional,prompt,2025-11-20 12:01:00,JW_JWV_0418_06501;JCM_JM_0183_02501;SON_ROCK_0127_04101;CEZ_CEZ_4639_00201;SOHO_SOHO_0160_04501;SON_SCD_0067_06503,JCM_JM_0183_02501;CEZ_CEZ_4639_00201,CEZ_CEZ_4639_00201;JCM_JM_0183_02501
S053,U001,christmas festive holiday,prompt,2025-11-06 17:27:00,SCOR_SCORE_0244_04501;BRU_BTV_0221_05001;SON_SONV_0223_03501;KPM_KPMLP_1167_00601;SON_SCD_0139_02301;2FM_2FM_0052_03201;JMP_JMP_0101_05501;MPATH_MPATH_0099_05901,2FM_2FM_0052_03201;KPM_KPMLP_1167_00601;MPATH_MPATH_0099_05901,KPM_KPMLP_1167_00601;MPATH_MPATH_0099_05901;2FM_2FM_0052_03201
S054,U001,tropical summer fun,prompt,2025-12-03 13:16:00,SEL_LS_1045_00701;SON_SAS_0149_07301;SON_ROCK_0163_04201;NFL_NFL_0036_01901;MTA_MTA_0053_36701,NFL_NFL_0036_01901;SEL_LS_1045_00701;MTA_MTA_0053_36701;SON_SAS_0149_07301;SON_ROCK_0163_04201,NFL_NFL_0036_01901;SEL_LS_1045_00701;SON_SAS_0149_07301
S055,U001,dark tension suspense,prompt,2025-12-18 10:59:00,SOHO_BOS_1048_06001;MYMA_JUST_0307_03101;MYMA_JUST_0216_03401;KPM_KPM_2005_16101;SON_SCDV_0817_03101;PRM_PRM_0146_04201;AXS_AXS_2069_07101;SCOR_SCORE_0178_02901,SON_SCDV_0817_03101;SCOR_SCORE_0178_02901;SOHO_BOS_1048_06001,SON_SCDV_0817_03101;SOHO_BOS_1048_06001;SCOR_SCORE_0178_02901
S056,U001,news broadcast urgent,prompt,2025-12-15 09:41:00,ADTK_ADTK_0184_03201;SOHO_SOHO_0330_08801;AVC_AVCD_0762_02001;SON_ROCK_0163_04201;SCOR_SCORE_0178_02901;SON_SCD_0067_06503,SON_ROCK_0163_04201;SON_SCD_0067_06503;SOHO_SOHO_0330_08801;SCOR_SCORE_0178_02901;ADTK_ADTK_0184_03201,SON_SCD_0067_06503;ADTK_ADTK_0184_03201;SON_ROCK_0163_04201
S057,U001,jazz smooth sophisticated,prompt,2025-12-09 14:21:00,SON_SCD_0067_06503;NFL_NFL_0036_01901;MPATH_MPATH_0028_02801;SON_SCDV_1297_03101;KOS_KOS_0372_05601;SON_ROCK_0127_04101;JCM_JM_0218_18701;MTA_MTA_0053_36701;MYMA_JUST_0307_03101,MTA_MTA_0053_36701;MYMA_JUST_0307_03101;MPATH_MPATH_0028_02801,MPATH_MPATH_0028_02801;MYMA_JUST_0307_03101
S058,U001,acoustic guitar uplifting,prompt,2025-12-15 13:55:00,AXS_AXS_2069_07101;JCM_JM_0183_02501;FAB_FAB_0039_02201;SON_SCDV_0252_04201;SATV_SATVCD_0153_00101;KPM_KPMLP_1167_00601;NRF_NRF_0013_02301;MMIT_MMIT_0087_01001;KOS_KOS_0111_10101;BRU_BTV_0221_05001,NRF_NRF_0013_02301;FAB_FAB_0039_02201;MMIT_MMIT_0087_01001;AXS_AXS_2069_07101;JCM_JM_0183_02501,NRF_NRF_0013_02301;AXS_AXS_2069_07101
